Brand,Variety,Style,Country,Stars,Country / Region,2014,2015,2016,2017,2018
Vit's,Taste Of Malaysia Penang Hokkien Mee Fried Instant Noodle,Pack,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Vit's,Instant Noodles With Chicken Flavour,Pack,Malaysia,3.75,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Yum Yum,Instant Flat Shaped Noodles Boat Noodles Nam Tok Flavour,Pack,Thailand,3.5,Thailand,"3,070","3,070","3,360","3,390","3,460"
Kuriki,Plum Mayo Ramen,Pack,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Tseng Noodles,Sichuan Pepper Flavor,Pack,Taiwan,4.75,Taiwan,710,680,770,820,830
Tseng Noodles,Hu Sesame Flavor,Pack,Taiwan,5,Taiwan,710,680,770,820,830
Tseng Noodles,Scallion With Sichuan Pepper  Flavor,Pack,Taiwan,5,Taiwan,710,680,770,820,830
Nongshim,Zha Wang ((Jjawang) Noodles With Chajang Sauce,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Mama,Instant Noodles Stewed Beef Flavour,Pack,Cambodia,3.5,Cambodia,250,270,280,330,330
Sichuan Baijia,Broad Noodle Chilli Oil Flavor,Pack,China/Hong Kong,4.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nongshim,Soon Veggie Noodle Soup,Cup,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
MyKuali,MeeKuali spicy Fried Noodle,Pack,Malaysia,4,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Mi Sedaap,Mi Kuah Rasa Baso Spesial,Pack,Indonesia,3.5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
