Brand,Variety,Style,Country,Stars,Country / Region,2014,2015,2016,2017,2018
MAMA,Rangers Snack Noodles Popcorn Flavour,Pack,Myanmar,3.75,Myanmar,410,460,570,590,600
Conimex,Oriental Noodles Soto Ajam,Cup,Netherlands,3,Netherlands,20,20,20,30,20
Sichuan Baijia,Hot spicy Flavor Instant Vermicelli,Bowl,China/Hong Kong,3.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nongshim,Rice Fettucini Alfredo,Pack,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Kamfen,Wonton Noodles Beef Flavour,Bowl,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
A-Sha Dry Noodle,Hakka Spicy Barbeque Sauce,Pack,Taiwan,4.50,Taiwan,710,680,770,820,830
Nissin,Donbei Dashi Shoyu Yakiudon,Bowl,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Raoh Rich Miso Flavor,Bowl,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodles Tom Yum Goong,Cup,Japan,3.8,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodle Big Seafood Clam Chowder,Cup,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Chikin Ramen Donburi,Bowl,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Curry Udon,Cup,Japan,5.0,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Men Shokunin Shoyu,Bowl,Japan,5.0,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodle Vegeta Buta-kyabetsu Tonkotsu,Cup,Japan,4.3,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodle Pasta Style Tarako Spaghetti,Cup,Japan,4.0,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodle Big Cheese Mexican Chilli,Cup,Japan,5.00,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Gyoretsu-no-Dekiru-Mise-no-Ramen (Shrimp Tantanmen),Bowl,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Raoh Tonkotsu,Pack,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodle Light Plus Ratatouille,Cup,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodle Milk Chikin Ramen,Cup,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodle,Cup,Japan,5.0,Japan,"5,500","5,540","5,660","5,660","5,780"
MyKuali,Penang White curry Noodle Authentic Taste,Pack,Malaysia,5.00,Malaysia,"1,340","1,370","1,390","1,310","1,370"
MAMA,Instant Noodles Chicken Soup Flavour,Pack,Myanmar,3.50,Myanmar,410,460,570,590,600
Nissin,Yokohama Walker Iekei Ramen,Bowl,Japan,4.50,Japan,"5,500","5,540","5,660","5,660","5,780"
A-Sha Dry Noodle,Quinoa Noodle With Oyster Sauce And Vegetables,Pack,Taiwan,4.25,Taiwan,710,680,770,820,830
Prima Taste,Singapore Prawn Soup La Mian,Pack,Singapore,5,Singapore,130,130,130,130,130
Nissin,Chinese Tan Tan Vermicelli,Cup,China/Hong Kong,5.0,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Tokushima Seifun,Tokushima Ramen,Pack,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Master Kong,Assorted Pork Bone Noodle,Pack,China/Hong Kong,4,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
MyKuali,Penang Red tom Yum Goong Noodle Authentic Taste,Pack,Malaysia,5.0,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Suimin,Noodles Witrh Prawn & Chicken Flavour,Cup,Australia,3.5,Australia,360,370,380,390,410
Nissin,BIG Cup Noodle Ajillo,Cup,Japan,3.0,Japan,"5,500","5,540","5,660","5,660","5,780"
CarJEN,Nyonya Curry Laksa (Improved Taste),Pack,Malaysia,5.0,Malaysia,"1,340","1,370","1,390","1,310","1,370"
MyOri,Malaysia Penang Green Curry Vermicelli (New Package),Pack,Malaysia,5.00,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Itsuki,Kumamoto Spicy Ramen,Pack,Japan,4.25,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Soba Fried Noodles Classic,Pack,Germany,3.25,Germany,180,190,200,200,200
Samyang Foods,Cheese Curry Ramyun,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Cup Noodles Sabor Calabresa,Pack,Brazil,4.25,Brazil,"2,370","2,370","2,350","2,230","2,370"
Doll,Spicy Flavour Instant Mifun,Pack,China/Hong Kong,2.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Fujiwara,Horse Crab Flavour Ramen,Pack,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
MyOri,Malaysia Penang Red Curry Noodle,Pack,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Nongshim,Noodle Soup Seasoned With Real Kimchi,Pack,United States,4.75,USA,"4,280","4,080","4,100","4,130","4,400"
Nissin,Top Ramen Chicken Flavor Ramen Noodle Soup (New Packaging),Pack,United States,3.5,USA,"4,280","4,080","4,100","4,130","4,400"
